model,original_language,target_language,transfer_score,transfer_margin,overall_score,overall_margin
FuxiTranyu-8B-DPO,it,hi,0.10924369747899161,0.2305157821302949,0.022413793103448276,0.05387463044344765
FuxiTranyu-8B-DPO,it,id,0.23025210084033618,0.3110993286629057,0.04724137931034483,0.0772150256781671
FuxiTranyu-8B-DPO,it,ja,0.44537815126050423,0.36727042560025186,0.09137931034482759,0.10487315679053699
FuxiTranyu-8B-DPO,it,zh,0.5504201680672269,0.36759838668358585,0.11293103448275862,0.11519521457426478
FuxiTranyu-8B-DPO,ja,de,0.2900474767012484,0.2730284702012163,0.07552655677655679,0.10156836932725984
FuxiTranyu-8B-DPO,ja,en,0.5141870614000031,0.3007141381335484,0.1338911088911089,0.13089514384233364
FuxiTranyu-8B-DPO,ja,es,0.2037369744879626,0.2423382333173216,0.05305183946488295,0.08615386052420854
FuxiTranyu-8B-DPO,ja,fr,0.2081941269562159,0.2442881118470593,0.05421245421245421,0.08703776824546325
FuxiTranyu-8B-DPO,ja,hi,0.2521946138967415,0.26128888423874913,0.06566990701606087,0.09521267923469127
FuxiTranyu-8B-DPO,ja,id,0.19233154100302627,0.23713767283816323,0.050081935608251395,0.08383879798391816
FuxiTranyu-8B-DPO,ja,it,0.26458003634019106,0.2654024818470083,0.06889499389499389,0.09735417500667039
FuxiTranyu-8B-DPO,ja,zh,0.6167457945020808,0.29251982120665865,0.16059676434676437,0.14112863206511064
FuxiTranyu-8B-DPO,zh,de,0.29045747533986055,0.18908554669907648,0.14686873565994446,0.11726993266170874
FuxiTranyu-8B-DPO,zh,en,0.47787962519564847,0.20805225043024858,0.2416380444951874,0.1418191878392507
FuxiTranyu-8B-DPO,zh,es,0.4350973894071723,0.2064942056767376,0.22000536703833407,0.13723867418107125
FuxiTranyu-8B-DPO,zh,fr,0.33168599193084597,0.1961018484319329,0.16771578081782162,0.12377611952846569
FuxiTranyu-8B-DPO,zh,hi,0.18308513317258107,0.1610804299096076,0.09257631257631256,0.09602162778373019
FuxiTranyu-8B-DPO,zh,id,0.24524038677139715,0.17919593880785734,0.12400488400488399,0.10919036216607936
FuxiTranyu-8B-DPO,zh,it,0.3513943677740261,0.19884542164439722,0.17768124732410448,0.12663535236763135
FuxiTranyu-8B-DPO,zh,ja,0.45893667839798374,0.2075526444879147,0.23205961432191924,0.13985487379831682
