model,original_language,target_language,transfer_score,transfer_margin,overall_score,overall_margin
Apertus-8B-Instruct-2509,ja,hi,0.295448280767897,0.2350797053055461,0.11702944491406031,0.1235611950918378
Apertus-8B-Instruct-2509,ja,id,0.22746584412713666,0.21599062740145306,0.0901010539168434,0.11005833377099858
Apertus-8B-Instruct-2509,ja,it,0.27261780911647976,0.229443842936996,0.10798611111111112,0.11929745419153197
Apertus-8B-Instruct-2509,ja,zh,0.431065543390708,0.2551647850423576,0.17074853552532124,0.14463820863840343
Apertus-8B-Instruct-2509,zh,de,0.40354117773405235,0.20160646214586123,0.20217391887721559,0.13305486180833015
Apertus-8B-Instruct-2509,zh,en,0.42752036507585334,0.2032959427159745,0.21418747918747919,0.13591599876200788
Apertus-8B-Instruct-2509,zh,es,0.5374931137666017,0.20488767799042346,0.2692837687343182,0.14695810203683723
Apertus-8B-Instruct-2509,zh,fr,0.41199157846988976,0.20225824245618276,0.20640756522389175,0.13408359138130996
Apertus-8B-Instruct-2509,zh,hi,0.22456941122403154,0.1714814121418217,0.1125091575091575,0.10468632287623267
Apertus-8B-Instruct-2509,zh,id,0.41627411453818114,0.2025650268030668,0.20855311355311357,0.1345963538676356
Apertus-8B-Instruct-2509,zh,it,0.5844147705314813,0.20251674123043006,0.2927914942200656,0.15075337182520035
Apertus-8B-Instruct-2509,zh,ja,0.5734979353289659,0.20323419656768008,0.2873221654962351,0.14991505905942482
