checkpoint,dataset,layer,aggregation,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var
10B,Chinese,layer_0,mean,103.2688,27.5907,1.222976,0.1294,0.36,0.4539,0.5928,0.7109,0.8254,0.9355,0.9777,0.9934
10B,Chinese,layer_1,mean,91.6327,23.7057,1.131946,0.1364,0.3936,0.5031,0.6326,0.7367,0.8352,0.9315,0.9716,0.9904
10B,Chinese,layer_2,mean,86.6566,20.9975,1.060291,0.1517,0.4151,0.5353,0.6552,0.7466,0.8325,0.9211,0.9634,0.9864
10B,Chinese,layer_3,mean,59.5925,12.0403,1.015685,0.2472,0.504,0.6099,0.7101,0.784,0.8531,0.9264,0.9635,0.9856
10B,Chinese,layer_4,mean,42.591,7.9394,0.984927,0.327,0.5658,0.6639,0.7513,0.8131,0.8705,0.9326,0.9651,0.9856
10B,Chinese,layer_5,mean,38.6245,7.1918,0.960067,0.3461,0.5862,0.6809,0.7648,0.8222,0.8749,0.9326,0.964,0.9846
10B,Chinese,layer_6,mean,38.2615,6.6986,0.939369,0.3635,0.5883,0.6784,0.7616,0.8184,0.8705,0.9285,0.9608,0.9828
10B,Chinese,layer_7,mean,38.5227,6.6415,0.922583,0.3661,0.5849,0.6756,0.7615,0.8189,0.8705,0.9272,0.9593,0.9816
10B,Chinese,layer_8,mean,38.1279,6.2291,0.905604,0.3817,0.586,0.6744,0.7588,0.815,0.8658,0.9227,0.956,0.9798
10B,Chinese,layer_9,mean,35.5348,5.5089,0.889163,0.4111,0.5991,0.6797,0.7606,0.8147,0.8638,0.9201,0.9537,0.9784
10B,Chinese,layer_10,mean,33.6166,5.1488,0.875796,0.4273,0.609,0.6845,0.7649,0.8178,0.8656,0.9199,0.9529,0.9777
10B,Chinese,layer_11,mean,29.5548,4.4779,0.861948,0.4622,0.6282,0.6999,0.7741,0.8233,0.868,0.9201,0.9525,0.9771
10B,Chinese,layer_12,mean,26.9945,4.2153,0.857215,0.4772,0.64,0.7094,0.7841,0.8322,0.8753,0.9243,0.9547,0.978
10B,Chinese,layer_13,mean,27.8428,4.3874,0.850992,0.4662,0.6377,0.7086,0.7843,0.832,0.8746,0.9233,0.9538,0.9774
10B,Chinese,layer_14,mean,29.4408,4.3983,0.83764,0.4663,0.6319,0.7017,0.7749,0.8221,0.8651,0.9162,0.9488,0.9747
10B,Chinese,layer_15,mean,31.602,4.7307,0.834248,0.4478,0.6205,0.6953,0.7716,0.8199,0.8636,0.9151,0.948,0.9741
10B,Chinese,layer_16,mean,35.6794,5.2832,0.832297,0.4211,0.603,0.6797,0.7619,0.8131,0.8587,0.912,0.946,0.973
10B,Chinese,layer_17,mean,40.1712,5.7869,0.829136,0.4009,0.5853,0.6632,0.7501,0.8039,0.8512,0.9067,0.9425,0.9712
10B,Chinese,layer_18,mean,45.386,6.5562,0.825799,0.3727,0.5677,0.6478,0.7396,0.7964,0.8449,0.9021,0.9393,0.9695
10B,Chinese,layer_19,mean,52.3655,7.233,0.820049,0.3527,0.5492,0.6287,0.7218,0.7805,0.8312,0.8917,0.9323,0.9659
10B,Chinese,layer_20,mean,61.0614,8.3362,0.818582,0.3247,0.5253,0.608,0.7044,0.7664,0.8197,0.8838,0.9272,0.9633
10B,Chinese,layer_21,mean,76.1883,10.8434,0.829164,0.2751,0.4914,0.5774,0.6798,0.7468,0.8048,0.8747,0.9223,0.9615
10B,Chinese,layer_22,mean,83.8251,13.0554,0.835264,0.2406,0.469,0.5647,0.6723,0.7432,0.8037,0.8752,0.9231,0.962
10B,Chinese,layer_23,mean,88.8831,16.4329,0.847664,0.1976,0.4452,0.5548,0.6742,0.7513,0.8125,0.882,0.9279,0.9648
10B,Chinese,layer_24,mean,93.6617,18.7844,0.857677,0.174,0.4273,0.545,0.6688,0.7495,0.8139,0.8846,0.9302,0.9662
10B,Chinese,layer_25,mean,87.9808,18.7384,0.865164,0.1702,0.4286,0.5529,0.6806,0.763,0.8266,0.8935,0.9359,0.9691
10B,Chinese,layer_26,mean,92.4323,20.4574,0.883032,0.1619,0.4033,0.5348,0.6716,0.7598,0.8282,0.8976,0.9397,0.9713
10B,Chinese,layer_27,mean,89.2507,20.8278,0.893802,0.1573,0.4018,0.539,0.6793,0.7681,0.8355,0.9034,0.9438,0.9736
10B,Chinese,layer_28,mean,83.9893,19.7697,0.89893,0.1547,0.4246,0.5499,0.688,0.7736,0.8395,0.9066,0.946,0.9747
10B,Chinese,layer_29,mean,68.9699,15.9725,0.900794,0.18,0.4696,0.5895,0.7167,0.7935,0.8539,0.9153,0.9512,0.9772
10B,French,layer_0,last,177.6579,28.8967,1.302645,0.1702,0.2717,0.3309,0.4442,0.5654,0.709,0.876,0.9545,0.9872
10B,French,layer_1,last,233.8115,30.5571,1.079101,0.1683,0.2565,0.3072,0.4062,0.5136,0.6477,0.8216,0.9191,0.9714
10B,French,layer_2,last,251.3846,33.9489,0.990635,0.1558,0.2611,0.3185,0.4168,0.5179,0.6437,0.807,0.9024,0.9603
10B,French,layer_3,last,208.7487,25.8524,0.942852,0.1619,0.3241,0.3771,0.4646,0.5527,0.6625,0.8067,0.8949,0.9542
10B,French,layer_4,last,176.2179,18.7633,0.912511,0.1996,0.3661,0.4173,0.4974,0.5764,0.6751,0.8063,0.8897,0.95
10B,French,layer_5,last,184.2235,18.3339,0.887469,0.2065,0.3649,0.4156,0.4942,0.5705,0.6657,0.7938,0.8784,0.9433
10B,French,layer_6,last,207.7149,20.3257,0.869615,0.197,0.3493,0.401,0.4796,0.5558,0.6499,0.7783,0.8659,0.9364
10B,French,layer_7,last,250.9398,24.007,0.84961,0.1832,0.319,0.3709,0.4499,0.5265,0.622,0.7567,0.8503,0.9276
10B,French,layer_8,last,286.9909,26.8941,0.830344,0.1747,0.2991,0.3522,0.4315,0.5073,0.6017,0.7375,0.8355,0.9191
10B,French,layer_9,last,327.1877,29.9526,0.811606,0.1676,0.2789,0.3322,0.4113,0.4863,0.5805,0.7194,0.8215,0.9106
