checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
373B,Chinese,m_mmlu,m_mmlu_zh,0.2632738321306495,5,0.25,56.529,4.466,0.557579,0.4669,0.5958,0.6356,0.6786,0.7095,0.7407,0.7901,0.8376,0.8955,layer_29,last
384B,Chinese,m_mmlu,m_mmlu_zh,0.26623623243448535,5,0.25,61.7235,4.7711,0.558086,0.4506,0.5858,0.6263,0.6705,0.7022,0.7342,0.7848,0.8336,0.893,layer_29,last
394B,Chinese,m_mmlu,m_mmlu_zh,0.26540068363083935,5,0.25,59.6441,4.6291,0.557388,0.4582,0.5899,0.63,0.6735,0.7048,0.7364,0.7864,0.8347,0.8936,layer_29,last
405B,Chinese,m_mmlu,m_mmlu_zh,0.2645651348271933,5,0.25,68.1372,5.0787,0.554617,0.4362,0.5729,0.615,0.6608,0.6933,0.7258,0.7773,0.8273,0.8886,layer_29,last
415B,Chinese,m_mmlu,m_mmlu_zh,0.2702620584884163,5,0.25,59.6897,4.6473,0.557476,0.4573,0.5884,0.6301,0.6745,0.7061,0.7377,0.7872,0.8352,0.8939,layer_29,last
426B,Chinese,m_mmlu,m_mmlu_zh,0.26767945309532853,5,0.25,59.9357,4.639,0.555542,0.4578,0.5876,0.6293,0.6738,0.7055,0.737,0.7864,0.8343,0.8931,layer_29,last
436B,Chinese,m_mmlu,m_mmlu_zh,0.2538549183440942,5,0.25,63.8738,4.878,0.559955,0.4457,0.5783,0.6213,0.6679,0.7006,0.7332,0.7842,0.8332,0.8927,layer_29,last
447B,Chinese,m_mmlu,m_mmlu_zh,0.26578047854158754,5,0.25,63.3865,4.8039,0.557101,0.4495,0.5791,0.6216,0.6675,0.7001,0.7325,0.7832,0.8322,0.8918,layer_29,last
457B,Chinese,m_mmlu,m_mmlu_zh,0.24952525636156475,5,0.25,64.3874,4.8138,0.553895,0.4493,0.5773,0.6196,0.6656,0.698,0.7302,0.7808,0.83,0.8902,layer_29,last
468B,Chinese,m_mmlu,m_mmlu_zh,0.25127231295100644,5,0.25,66.3886,4.8883,0.554806,0.4459,0.5725,0.6151,0.6617,0.6945,0.7272,0.7784,0.8281,0.8891,layer_29,last
478B,Chinese,m_mmlu,m_mmlu_zh,0.24800607671857197,5,0.25,66.4525,4.9106,0.556746,0.4448,0.5724,0.6151,0.6619,0.6949,0.7278,0.7793,0.829,0.8898,layer_29,last
489B,Chinese,m_mmlu,m_mmlu_zh,0.25127231295100644,5,0.25,66.767,4.9613,0.554798,0.4421,0.5716,0.6153,0.6625,0.6957,0.7286,0.7798,0.8291,0.8896,layer_29,last
499B,Chinese,m_mmlu,m_mmlu_zh,0.2679073300417774,5,0.25,68.4403,5.0706,0.556114,0.4368,0.5684,0.6125,0.6604,0.6938,0.7269,0.7785,0.8283,0.8892,layer_29,last
