checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
168B,Chinese,m_mmlu,m_mmlu_zh,0.25826053930877324,5,0.25,198.1974,10.2459,0.737571,0.3066,0.4053,0.4387,0.4934,0.5389,0.5934,0.6879,0.779,0.8797,layer_15,last
178B,Chinese,m_mmlu,m_mmlu_zh,0.27284466388150397,5,0.25,202.1255,10.646,0.737148,0.3,0.404,0.4378,0.493,0.5385,0.5929,0.6874,0.7786,0.8794,layer_15,last
189B,Chinese,m_mmlu,m_mmlu_zh,0.264641093809343,5,0.25,163.8305,9.0679,0.736733,0.3254,0.4366,0.4712,0.5249,0.5682,0.6193,0.7073,0.7924,0.8868,layer_15,last
199B,Chinese,m_mmlu,m_mmlu_zh,0.2717052791492594,5,0.25,201.8466,10.5993,0.729896,0.3006,0.4027,0.4381,0.4941,0.54,0.5938,0.6871,0.7776,0.8782,layer_15,last
210B,Chinese,m_mmlu,m_mmlu_zh,0.25415875427269274,5,0.25,177.021,9.6762,0.732847,0.3146,0.4248,0.4598,0.515,0.5592,0.611,0.7004,0.787,0.8835,layer_15,last
220B,Chinese,m_mmlu,m_mmlu_zh,0.2699582225598177,5,0.25,161.6212,9.1369,0.732351,0.3236,0.4396,0.4755,0.5296,0.5732,0.6234,0.71,0.7939,0.8872,layer_15,last
231B,Chinese,m_mmlu,m_mmlu_zh,0.26631219141663504,5,0.25,175.2654,9.5962,0.733694,0.3161,0.4239,0.4597,0.5161,0.5612,0.6133,0.7026,0.7888,0.8845,layer_15,last
241B,Chinese,m_mmlu,m_mmlu_zh,0.2641853399164451,5,0.25,178.4517,10.2604,0.727908,0.3036,0.4254,0.4627,0.5197,0.5644,0.6159,0.7041,0.7893,0.8843,layer_15,last
252B,Chinese,m_mmlu,m_mmlu_zh,0.2703380174705659,5,0.25,175.4938,9.838,0.7383,0.3115,0.425,0.4624,0.5191,0.5637,0.6152,0.7036,0.7894,0.8851,layer_15,last
262B,Chinese,m_mmlu,m_mmlu_zh,0.26479301177364223,5,0.25,196.2752,10.5791,0.735828,0.3004,0.4074,0.4444,0.5006,0.5463,0.5996,0.6912,0.7803,0.88,layer_15,last
273B,Chinese,m_mmlu,m_mmlu_zh,0.2683630839346753,5,0.25,208.8552,11.3856,0.736167,0.2888,0.3985,0.436,0.4937,0.5405,0.5945,0.6872,0.7775,0.8785,layer_15,last
283B,Chinese,m_mmlu,m_mmlu_zh,0.25567793391568555,5,0.25,195.277,11.3433,0.736031,0.2871,0.4122,0.4501,0.5083,0.554,0.6064,0.6961,0.7836,0.8817,layer_15,last
294B,Chinese,m_mmlu,m_mmlu_zh,0.2575769084694265,5,0.25,225.7375,12.7786,0.736462,0.27,0.3889,0.4273,0.4858,0.5329,0.5875,0.6816,0.7734,0.8763,layer_15,last
304B,Chinese,m_mmlu,m_mmlu_zh,0.25977971895176605,5,0.25,217.6702,12.3184,0.738298,0.2757,0.3931,0.4316,0.4906,0.5382,0.5925,0.6857,0.7766,0.8782,layer_15,last
315B,Chinese,m_mmlu,m_mmlu_zh,0.2702620584884163,5,0.25,227.7562,12.9387,0.738651,0.2684,0.3863,0.4256,0.4846,0.5323,0.5873,0.6818,0.7738,0.8767,layer_15,last
325B,Chinese,m_mmlu,m_mmlu_zh,0.2643372578807444,5,0.25,222.8061,12.5971,0.739669,0.2726,0.3888,0.4283,0.4876,0.5354,0.59,0.6838,0.7753,0.8775,layer_15,last
334B,Chinese,m_mmlu,m_mmlu_zh,0.27292062286365365,5,0.25,204.6847,11.8998,0.740478,0.28,0.404,0.443,0.5016,0.5483,0.6015,0.6926,0.7816,0.8811,layer_15,last
342B,Chinese,m_mmlu,m_mmlu_zh,0.2680592480060767,5,0.25,210.968,12.2061,0.740947,0.2765,0.3982,0.4375,0.4969,0.5444,0.5983,0.6903,0.7801,0.8802,layer_15,last
352B,Chinese,m_mmlu,m_mmlu_zh,0.254310672236992,5,0.25,157.895,9.7817,0.744557,0.3084,0.4471,0.4842,0.5393,0.5827,0.632,0.7165,0.7988,0.8907,layer_15,last
