predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer_collapse,ckpt_collapse
abs_diff,accuracy_majority,0,per_ckpt,552B,72,-0.163,0.2348,-0.195,0.1738,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,562B,72,-0.1798,0.1848,-0.1909,0.1998,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,573B,72,-0.1725,0.2018,-0.1975,0.1798,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,583B,72,-0.1752,0.1748,-0.1961,0.1808,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,593B,72,-0.1806,0.1578,-0.1945,0.1788,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,main,72,-0.1805,0.1628,-0.1945,0.1848,average_rankme,none
abs_diff,overall_score,0,per_ckpt,10B,72,-0.104,0.5684,-0.169,0.1598,average_rankme,none
abs_diff,overall_score,0,per_ckpt,21B,72,-0.103,0.5604,-0.1644,0.1718,average_rankme,none
abs_diff,overall_score,0,per_ckpt,31B,72,-0.1051,0.5405,-0.163,0.1708,average_rankme,none
abs_diff,overall_score,0,per_ckpt,42B,72,-0.097,0.5554,-0.1555,0.1838,average_rankme,none
abs_diff,overall_score,0,per_ckpt,52B,72,-0.1038,0.5435,-0.161,0.1798,average_rankme,none
abs_diff,overall_score,0,per_ckpt,63B,72,-0.106,0.5215,-0.155,0.1918,average_rankme,none
abs_diff,overall_score,0,per_ckpt,73B,72,-0.1152,0.4905,-0.1434,0.2358,average_rankme,none
abs_diff,overall_score,0,per_ckpt,84B,72,-0.0924,0.5754,-0.16,0.1768,average_rankme,none
abs_diff,overall_score,0,per_ckpt,94B,72,-0.0434,0.7153,-0.0508,0.6334,average_rankme,none
abs_diff,overall_score,0,per_ckpt,105B,72,-0.1073,0.5335,-0.1474,0.2368,average_rankme,none
abs_diff,overall_score,0,per_ckpt,115B,72,-0.0969,0.5624,-0.1605,0.1798,average_rankme,none
abs_diff,overall_score,0,per_ckpt,126B,72,-0.1132,0.5215,-0.1609,0.1798,average_rankme,none
abs_diff,overall_score,0,per_ckpt,136B,72,-0.1056,0.5225,-0.1653,0.1499,average_rankme,none
abs_diff,overall_score,0,per_ckpt,147B,72,-0.0968,0.5704,-0.1512,0.2118,average_rankme,none
abs_diff,overall_score,0,per_ckpt,157B,72,-0.0899,0.6104,-0.1529,0.2108,average_rankme,none
abs_diff,overall_score,0,per_ckpt,168B,72,-0.0896,0.6234,-0.1511,0.2188,average_rankme,none
abs_diff,overall_score,0,per_ckpt,178B,72,-0.0933,0.5904,-0.1621,0.1858,average_rankme,none
abs_diff,overall_score,0,per_ckpt,189B,72,-0.0558,0.7363,-0.1408,0.2547,average_rankme,none
abs_diff,overall_score,0,per_ckpt,199B,72,-0.1022,0.5614,-0.1604,0.1818,average_rankme,none
abs_diff,overall_score,0,per_ckpt,210B,72,-0.0891,0.6134,-0.1478,0.2218,average_rankme,none
abs_diff,overall_score,0,per_ckpt,220B,72,-0.095,0.6044,-0.1527,0.2098,average_rankme,none
abs_diff,overall_score,0,per_ckpt,231B,72,-0.0796,0.6444,-0.1489,0.2288,average_rankme,none
abs_diff,overall_score,0,per_ckpt,241B,72,-0.1192,0.4805,-0.1607,0.1778,average_rankme,none
abs_diff,overall_score,0,per_ckpt,252B,72,-0.1096,0.5185,-0.1606,0.1878,average_rankme,none
abs_diff,overall_score,0,per_ckpt,262B,72,-0.0956,0.5954,-0.1635,0.1698,average_rankme,none
abs_diff,overall_score,0,per_ckpt,273B,72,-0.0966,0.5594,-0.1564,0.1918,average_rankme,none
abs_diff,overall_score,0,per_ckpt,283B,72,-0.0913,0.5954,-0.1509,0.2168,average_rankme,none
abs_diff,overall_score,0,per_ckpt,294B,72,-0.0814,0.6484,-0.1559,0.2038,average_rankme,none
abs_diff,overall_score,0,per_ckpt,304B,72,-0.0742,0.6523,-0.1421,0.2428,average_rankme,none
abs_diff,overall_score,0,per_ckpt,315B,72,-0.1052,0.5544,-0.1675,0.1568,average_rankme,none
abs_diff,overall_score,0,per_ckpt,325B,72,-0.0823,0.6184,-0.144,0.2318,average_rankme,none
abs_diff,overall_score,0,per_ckpt,334B,72,-0.0913,0.5954,-0.1494,0.2258,average_rankme,none
abs_diff,overall_score,0,per_ckpt,342B,72,-0.0951,0.5784,-0.1497,0.2208,average_rankme,none
abs_diff,overall_score,0,per_ckpt,352B,72,-0.0699,0.6573,-0.1403,0.2567,average_rankme,none
