predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer
A_max,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.1937,0.1031,0.1998,0.0924,layer_29
A_norm_asym,accuracy_majority,0,pooled,,72,-0.0997,0.4046,-0.0854,0.4756,layer_29
A_norm_asym,overall_score,0,pooled,,72,0.0116,0.9228,0.0477,0.6909,layer_29
A_norm_asym,transfer_score,0,pooled,,72,-0.0186,0.8765,-0.0585,0.6254,layer_29
A_norm_asym,transfer_score_str,0,pooled,,72,-0.355,0.0022,-0.3421,0.0033,layer_29
A_norm_asym,overall_score_str,0,pooled,,72,-0.1461,0.2207,-0.0913,0.4456,layer_29
A_norm_asym,transfer_margin_str,0,pooled,,72,0.0112,0.9257,0.0066,0.9559,layer_29
A_norm_asym,overall_margin_str,0,pooled,,72,0.0493,0.6807,0.0657,0.5836,layer_29
A_norm_asym,accuracy_gpt-5-mini,0,pooled,,72,-0.03,0.8024,-0.0137,0.9088,layer_29
A_norm_asym,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0938,0.4331,-0.0332,0.7817,layer_29
A_norm_asym,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1435,0.2292,-0.0978,0.4139,layer_29
A_abs_ratio,accuracy_majority,0,pooled,,72,-0.1879,0.114,-0.2234,0.0592,layer_29
A_abs_ratio,overall_score,0,pooled,,72,-0.1149,0.3366,-0.1696,0.1544,layer_29
A_abs_ratio,transfer_score,0,pooled,,72,-0.0801,0.5034,-0.0841,0.4823,layer_29
A_abs_ratio,transfer_score_str,0,pooled,,72,-0.3467,0.0028,-0.2665,0.0237,layer_29
A_abs_ratio,overall_score_str,0,pooled,,72,-0.4126,0.0003,-0.3753,0.0012,layer_29
A_abs_ratio,transfer_margin_str,0,pooled,,72,-0.1877,0.1145,-0.1682,0.1578,layer_29
A_abs_ratio,overall_margin_str,0,pooled,,72,-0.5486,0.0,-0.4264,0.0002,layer_29
A_abs_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.1972,0.0969,-0.2003,0.0917,layer_29
A_abs_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.1917,0.1067,-0.1492,0.211,layer_29
A_abs_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.0893,0.4556,-0.0774,0.5179,layer_29
A_signed_ratio,accuracy_majority,0,pooled,,72,-0.0997,0.4046,-0.1377,0.2486,layer_29
